_id,x,y,fid,perimeter,publicbl_i,facility,facility_c,address,city,zipcode,class,municode
8400,-80.144148017,40.438823353,216,0,57,Robinson Township Building,,1000 Church Hill Rd,Pittsburgh,15205,,939
8401,-80.1803230899999,40.5385634900001,217,0,99,Osborne Borough Building,,601 Thorn St,Sewickley,15143,,846
8402,-79.885750924,40.2725468950001,218,0,78,Elizabeth Borough Building,,206 Third Ave,Elizabeth,15037,,825
8403,-80.010237515,40.5878717150001,219,0,62,Fire Training Academy,FTA,700 West Ridge Rd,Allison Park,15101,Allegheny County,
8404,-79.824441114,40.272382517,220,0,19,Elizabeth Township Building,,522 Rock Run Rd,Elizabeth,15037,,908
8405,-79.903632638,40.4014908520001,221,0,87,Homestead Borough Building,,1705 Maple St,Homestead,15120,,834
8406,-79.914102089,40.4668070860001,222,0,22,Larimer Playground Maintenance Building,B267,Lenora St,Pittsburgh,15206,City of Pittsburgh,100
8407,-80.322416124,40.4934935740001,223,0,21,Findlay Township,,1271 Lincoln Hwy,Clinton,15026,,910
8408,-79.9171427059999,40.475323228,224,0,20,Highland Park Construction Division,B210,Heberton St,Pittsburgh,15206,City of Pittsburgh,100
8409,-79.958785995,40.451802666,225,0,18,Herron Hill Radio Tower,B149,Camp St,Pittsburgh,15219,City of Pittsburgh,100
8410,-79.996110373,40.438020656,226,0,36,Morgue Building,MORG,542 Forth Ave,Pittsburgh,15219,Allegheny County,
8411,-79.974373653,40.458587358,227,0,12,General Services Facility 2,B005,35 29 1/2 St,Pittsburgh,15222,City of Pittsburgh,100
8412,-79.8953928189999,40.3014364750001,228,0,127,Clairton City Building,,551 Ravensburg Blvd,Clairton,15025,,200
8413,-79.9748337079999,40.4595112380001,229,0,11,General Services Facility 1,B004,10 29 1/2 St,Pittsburgh,15222,City of Pittsburgh,100
8414,-79.7758229579999,40.4054195910001,230,0,100,Pitcairn Borough Building,,582 Sixth St,Pitcairn,15140,,847
8415,-79.9752830909999,40.4592533150001,231,0,10,General Services Compressor Building,B007,10 29 1/2 St,Pittsburgh,15222,City of Pittsburgh,100
8416,-79.861228828,40.4023302410001,232,0,96,North Braddock Borough Building,,600 Anderson St,North Braddock,15104,,843
8417,-80.219963235,40.3928895340001,233,0,94,McDonald Borough Building,,151 School St,Mcdonald,15057,,841
8418,-80.1803230899999,40.5385634900001,234,0,104,Sewickley Borough Building,,601 Thorn St,Sewickley,15143,,851
8419,-79.7909888469999,40.321530276,235,0,61,South Versailles Township Building,,,Coulter,15028,,947
8420,-79.8858728499999,40.4433934840001,236,0,119,Wilkinsburg Borough Building,,605 Ross Ave,Pittsburgh,15221,,866
8421,-79.723204531,40.62448635,237,0,38,Harrison Township Building,,1 Municipal Dr,Natrona Heights,15065,,916
8422,-79.995290908,40.436114633,238,0,329,Pittsburgh Public Works Administration/Supplies,,611 Second Ave,Pittsburgh,15219,Pittsburgh Public Works,100
8423,-80.025471763,40.4565370230001,239,0,17,Hazlett Theatre,S992,Allegheny Center Mall,Pittsburgh,15212,City of Pittsburgh,100
8424,-79.910903316,40.4718846230001,240,0,601,Forestry,,6520 Stanton Ave,Pittsburgh,15206,Pittsburgh Public Works,100
8425,-80.161011198,40.528872048,241,0,85,Haysville Borough Building,,36 South Ave,Sewickley,15143,,832
8426,-79.901887733,40.477657376,242,0,57,Shuman Juvenile Detention Center,SHU,7150 Highland Dr,Pittsburgh,15206,Allegheny County,
8427,-79.8602521299999,40.294674361,243,0,9,Lincoln Borough Building,,45 Abe's Way,Elizabeth,15037,,881
8428,-79.843867631,40.5055680090001,244,0,112,Verona Borough Building,,736 East Railroad Ave,Verona,15147,,859
8429,-79.942017348,40.437055995,245,0,34,Schenley Engineering Building,B061,Engineering Dr,Pittsburgh,15217,City of Pittsburgh,100
8430,-79.9770069369999,40.457501721,246,0,4,Pittsburgh Public Works Heavy Equipment/Repair,,74 28th Street,Pittsburgh,15222,Pittsburgh Public Works,100
8431,-79.810429799,40.4271291270001,247,0,12,Buncher Building,BB,1520 Penn Liberty Ctr,Pittsburgh,15235,Allegheny County,
8432,-79.884242748,40.4204672290001,248,0,107,Swissvale Borough Building,,7560 Roslyn St,Pittsburgh,15218,,854
8433,-79.859762007,40.5657604780001,249,0,39,Indiana Township Building,,941 Route 910,Indianola,15051,,917
